epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2726.04,0.71174,0.34072,0.79436,0.8891,0.59468,0.71455,0.51129,0.68156,0.31289,0.78807,0.002377,0.002377,0.002377
79,2760.83,0.71207,0.33986,0.7954,0.88702,0.59542,0.71468,0.5111,0.67948,0.31217,0.78763,0.002278,0.002278,0.002278
80,2795.6,0.70821,0.33788,0.79551,0.8852,0.59702,0.715,0.51103,0.67891,0.31237,0.78753,0.002179,0.002179,0.002179
81,2830.47,0.71058,0.33915,0.7943,0.88728,0.59644,0.71567,0.51138,0.67935,0.31191,0.78745,0.00208,0.00208,0.00208
82,2865.62,0.70549,0.33543,0.79396,0.88574,0.59726,0.71545,0.51171,0.67951,0.31154,0.78746,0.001981,0.001981,0.001981
83,2900.82,0.7051,0.33457,0.79302,0.8875,0.59708,0.7156,0.51162,0.67842,0.31138,0.78739,0.001882,0.001882,0.001882
84,2936.65,0.69702,0.33116,0.79366,0.8891,0.59593,0.71628,0.51198,0.67852,0.31036,0.78724,0.001783,0.001783,0.001783
85,2971.72,0.70007,0.3323,0.79407,0.89037,0.59595,0.71674,0.51277,0.6775,0.30987,0.78725,0.001684,0.001684,0.001684
86,3006.82,0.69934,0.33234,0.79262,0.89019,0.59637,0.71688,0.51364,0.67654,0.30948,0.78727,0.001585,0.001585,0.001585
87,3042.08,0.69535,0.32987,0.79328,0.89134,0.59596,0.71682,0.51302,0.67695,0.30983,0.78714,0.001486,0.001486,0.001486
88,3077.34,0.69363,0.3295,0.79269,0.8911,0.5963,0.71683,0.51289,0.67639,0.30991,0.78712,0.001387,0.001387,0.001387
89,3113.09,0.69161,0.32698,0.79226,0.89008,0.59738,0.71737,0.51348,0.67588,0.30968,0.78701,0.001288,0.001288,0.001288
90,3148.12,0.68992,0.32668,0.79341,0.89047,0.59692,0.71781,0.51397,0.67585,0.30963,0.78687,0.001189,0.001189,0.001189
91,3207.37,0.68761,0.3226,0.78979,0.88999,0.59759,0.71809,0.51421,0.67646,0.30971,0.78697,0.00109,0.00109,0.00109
92,3240.96,0.67887,0.31846,0.78941,0.88811,0.59743,0.71768,0.51441,0.67648,0.30956,0.78696,0.000991,0.000991,0.000991
93,3274.65,0.67624,0.31696,0.78917,0.8863,0.59817,0.71772,0.51437,0.67668,0.31004,0.78707,0.000892,0.000892,0.000892
94,3308.57,0.67408,0.31528,0.788,0.88758,0.59766,0.71811,0.51486,0.67652,0.30994,0.78703,0.000793,0.000793,0.000793
95,3342.44,0.67088,0.31362,0.78683,0.88878,0.59771,0.71803,0.51515,0.67659,0.30995,0.78697,0.000694,0.000694,0.000694
96,3376.21,0.6659,0.31112,0.78832,0.88941,0.59709,0.71821,0.51486,0.67682,0.30953,0.78694,0.000595,0.000595,0.000595
97,3410.26,0.66715,0.31078,0.78777,0.88853,0.59814,0.71844,0.51495,0.67688,0.30968,0.78696,0.000496,0.000496,0.000496
98,3444.05,0.66441,0.30942,0.78834,0.88876,0.5982,0.71831,0.51481,0.67705,0.30966,0.78696,0.000397,0.000397,0.000397
99,3478.01,0.65823,0.30713,0.7858,0.8884,0.59872,0.71858,0.51515,0.67669,0.3095,0.78694,0.000298,0.000298,0.000298
100,3512.05,0.65702,0.30514,0.78651,0.88872,0.59871,0.71912,0.51538,0.67708,0.30965,0.78693,0.000199,0.000199,0.000199
